,City,State,Average2018,Average2019,Average2020,2018-2019 changing rate,2019-2020 changing rate,Diff in 2018-2020 changing rate
0,New York,NY,615862.3333333334,628522.6666666666,626765.4444444445,2.014300200257947,-0.28036360935305027,-2.2946638096109973
1,Los Angeles,CA,691847.4166666666,702524.5,740316.4444444445,1.519816509364922,5.104836550376062,3.5850200410111395
2,Houston,TX,178060.08333333334,186632.58333333334,192562.77777777778,4.593249392411382,3.0796161713495995,-1.5136332210617822
3,Chicago,IL,264902.3333333333,267636.6666666667,271129.1111111111,1.0216587164190403,1.2881111991744787,0.2664524827554384
4,San Antonio,TX,179563.75,189399.75,194915.44444444444,5.19324867113077,2.829788301366002,-2.363460369764768
5,Philadelphia,PA,169057.33333333334,182631.33333333334,192899.11111111112,7.432459563346194,5.322874594203535,-2.1095849691426594
6,Phoenix,AZ,235362.91666666666,248721.25,270502.77777777775,5.370805000913007,8.052238116264972,2.6814331153519646
7,Las Vegas,NV,266820.9166666667,281003.0833333333,287806.8888888889,5.0469790218790465,2.3640176167507403,-2.682961405128306
8,San Diego,CA,613106.25,623215.8333333334,654810.2222222222,1.6221640710347867,4.824968795030008,3.2028047239952215
9,Dallas,TX,212800.0,228435.58333333334,233661.88888888888,6.844635632145754,2.236695757450095,-4.607939874695658
10,Austin,TX,369965.25,386697.1666666667,410591.77777777775,4.326878526392104,5.8195542152437865,1.4926756888516826
11,San Jose,CA,1017232.1666666666,949961.0,996197.8888888889,-7.08146615141744,4.641335763164412,11.722801914581853
12,Jacksonville,FL,177880.33333333334,188154.08333333334,197875.66666666666,5.460285430956632,4.912975656430712,-0.5473097745259201
13,Indianapolis,IN,138144.66666666666,149612.58333333334,159334.22222222222,7.665074963057375,6.101412962828651,-1.5636620002287236
14,San Francisco,CA,1371575.4166666667,1390975.3333333333,1412559.3333333333,1.3946988276331653,1.5280066111677197,0.1333077835345544
15,Charlotte,NC,223866.58333333334,237200.41666666666,251188.11111111112,5.621336387478232,5.568613252661914,-0.05272313481631841
